system:index,MNDWI,NBR,NDMI,NDVI,block_id,blue,class_numeric,dist_to_water,elev_rel_lake,green,nir,red,reserve_id,slope,swir1,swir2,.geo
17174,-0.53540117,0.41076022,0.07865668,0.59759206,8.53703984E8,0.036445,2.0,60.0,4.0,0.05993,0.219925,0.0541825,5,0.0,0.1890425,0.09214625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.931388280883728,46.90826132168686]}"
17175,-0.51284313,0.4253512,0.0901845,0.6228661,8.53703984E8,0.03577125,2.0,67.08204,4.0,0.05876125,0.22879376,0.05405875,5,1.643753,0.18347375,0.08061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.931782042144212,46.90826307016026]}"
17176,-0.47721907,0.466501,0.13636768,0.63109666,8.53803984E8,0.03453375,2.0,84.85281,3.0,0.06046625,0.2242975,0.05361875,5,1.643753,0.16735876,0.07759875,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.932175803430362,46.90826481727841]}"
17177,-0.49673045,0.45325035,0.11048152,0.61814266,8.53803984E8,0.03439625,4.0,108.16654,2.0,0.0603425,0.21006624,0.05361875,5,1.643753,0.17272125,0.08397875,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.932569564742076,46.90826656304132]}"
17178,-0.4962626,0.45981196,0.11496724,0.60213417,8.53803984E8,0.035785,4.0,84.85281,2.0,0.05887125,0.22587875,0.0574,5,0.0,0.1724875,0.0838,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.932963326079392,46.908268307448985]}"
17179,-0.48570856,0.71864754,0.4216725,0.79270244,8.53903984E8,0.0295425,6.0,30.0,16.0,0.044915,0.3364425,0.0373525,5,0.0,0.1385525,0.0579775,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.939657272709404,46.90829775502635]}"
17180,-0.49433795,0.7044919,0.40861583,0.79151887,8.54003984E8,0.02771375,6.0,42.426407,15.0,0.043925,0.30070624,0.03467125,5,1.643753,0.13011,0.0553375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.9400510345039095,46.90829947503955]}"
17181,-0.43191296,0.7056062,0.38781944,0.77800125,8.54003984E8,0.02488125,6.0,67.08204,15.0,0.04792625,0.27480125,0.03126125,5,2.2974904,0.12121375,0.05282125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.94044479632361,46.9083011936975]}"
17182,-0.44155946,0.6972778,0.39489517,0.7581545,8.54003984E8,0.0221175,6.0,84.85281,16.0,0.0446675,0.2744575,0.032705,5,3.8818288,0.11658,0.0489025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.940838558168517,46.90830291100019]}"
17183,-0.432204,0.7168495,0.41103876,0.78381807,8.54003984E8,0.02471625,6.0,94.86833,17.0,0.04402125,0.27020875,0.03287,5,4.1697927,0.11103875,0.0454375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.941232320038583,46.90830462694764]}"
